COIN_NAME,STRATEGY,START DATE,FINISH DATE,START BALANCE,END BALANCE,% WIN,TRADES NUM
ETC,bestone_updated_hardcoded,2018-09-01 00:46:00,2018-09-01 08:01:00,"100,00036513","99,7503674","-0,249996817191",1
ETC,BodhiDI_public,2018-09-01 00:46:00,2018-09-02 15:01:00,"100,00036513","96,4835920561","-3,51676023318",9
ETC,BBRSI,2018-09-01 00:46:00,2018-09-02 13:01:00,"100,00036513","100,03003526","0,0296700216659",5
ETC,RSI,2018-09-01 00:46:00,2018-09-03 00:16:00,"100,00036513","103,70864003","3,70826136003",4
ETC,DEBUG_single-advice,2018-09-01 00:46:00,2018-09-01 01:50:00,"100,00036513","100,10890786","0,108542333679",2
ETC,tulip-adx,2018-09-01 00:46:00,2018-09-01 23:01:00,"100,00036513","99,3926616","-0,6077013111",2
ETC,UO,2018-09-01 00:46:00,2018-09-03 00:01:00,"100,00036513","99,33602841","-0,664334294316",5
ETC,DEBUG_toggle-advice,2018-09-01 00:46:00,2018-09-03 00:16:00,"100,00036513","83,8906333162","-16,1096729926",64
ETC,FIXPRICE,2018-09-01 00:46:00,2018-09-01 01:01:00,"100,00036513","99,750362702","-0,250001515181",1
ETC,EMACrossover,2018-09-01 00:46:00,2018-09-01 22:01:00,"100,00036513","98,90180557","-1,09855554884",4
ETH,NEO,2018-08-30 20:58:00,2018-09-01 14:58:00,"100,008224","101,31716499","1,30883335155",4
ETH,DI,2018-08-30 20:58:00,2018-08-31 20:43:00,"100,008224","99,7580715604","-0,250131868741",2
ETH,StochRSI,2018-08-30 20:58:00,2018-09-01 17:58:00,"100,008224","98,78389563","-1,22422768951",18
ETH,RSI_BB_ADX_Peak,2018-08-30 20:58:00,2018-08-31 00:13:00,"100,008224","99,7581312919","-0,250072142141",1
ETH,TMA,2018-08-30 20:58:00,2018-09-01 14:58:00,"100,008224","99,5713507125","-0,436837361954",6
ETH,RsiStopLoss,2018-08-30 20:58:00,2018-08-30 21:13:00,"100,008224","99,7582581997","-0,249945244843",1
ETH,DynBuySell,2018-08-30 20:58:00,2018-08-31 12:58:00,"100,008224","99,7580183018","-0,250185122989",1
ETH,RSI_BULL_BEAR,2018-08-30 20:58:00,2018-09-01 17:13:00,"100,008224","101,115451236","1,10713618532",5
ETH,buyatsellat_ui,2018-08-30 20:58:00,2018-08-30 21:13:00,"100,008224","99,7582581997","-0,249945244843",1
ETH,DEMACrossover,2018-08-30 20:58:00,2018-08-31 16:28:00,"100,008224","99,758060882","-0,250142546304",1
